"","lulc.sumforest.diversit","grid","Bare...sparse.vegetation","Herbaceous.vegetation","Herbaceous.wetland","Permanent.water.bodies","Shrubs","Urban...built.up","Cultivated.and.managed.vegetation","Closed.forest","Open.forest","Oceans","H","Human_pop","SR","Fric","Feve","Fdiv","elemean","slopemean"
"1",0.400765543343103,336021,0,164720.9648,68651.17141,2025626.551,0,459821.2323,322618.8033,4300485.769,336329.7216,81323132.74,2.575079392,1552,38.4,45.50334331,0.707009999,0.815984867,3.420704696,1.233046577
"2",0.43490355049847,336042,0,13714.96674,0,541784.7166,0,54863.79725,0,3827324.176,6858.495715,31145757.34,NA,2071,NA,NA,NA,NA,15.19430886,2.841269855
"3",0.71584496294163,336062,0,25345.87974,20801.1325,358127.2974,0,5266436.457,0,0,0,12218059.52,1.34803342,8220.110236,9.5,18.25223172,0.701072955,0.880955201,6.107770583,0.775369145
"4",1.52149097832868,336063,0,330782.7431,90264.1543,1447699.623,173802.3972,23868457.36,6710609.863,50911931.08,21871447.49,37848476.97,2.315653366,29406.29082,26.16666667,25.68744007,0.667595136,0.790435795,97.40930496,2.525736554
"5",1.23965713893073,336064,13873.724,229029.4509,55497.39305,1018311.765,6945.006392,36048464.5,1941948.103,80717195.3,34624711.44,6494600.34,2.557736142,37880.27186,21.90909091,19.94300344,0.707546994,0.724588471,358.7940281,5.632389736
"6",1.28745355873379,336071,6931.213539,265794.5811,34648.33756,896492.8705,6931.451386,21882663.79,34662.25157,7242482.842,3469205.079,19826436.03,2.623128458,19569.04776,51.66666667,49.20122887,0.648972909,0.904531763,28.68391823,2.122120684
"7",1.38519710295311,336072,0,838290.6784,138546.3726,1094190.006,0,12950168.51,720786.6259,36930056.04,14265991.21,40369049.83,2.225735686,20586.4967,42.4,42.13190537,0.675497351,0.904883226,40.17688693,1.691404154
"8",0.890418891878671,336073,0,55557.19789,0,0,20835.97025,22854900.21,1219523.791,108521878.9,28477948.67,0,2.300985257,25630.57843,22.4,17.08137676,0.699765274,0.751275708,543.281328,7.252496995
"9",0.867584044275826,336074,0,117763.8373,0,0,444591.0713,3711403.444,7657503.064,108418600.9,40800815.1,0,2.41500312,18274.08404,23.90909091,17.1695123,0.687551776,0.761312344,367.4738395,4.496999465
"10",1.5737725299277,336081,6926.218486,1725035.149,193951.6001,1057257.39,0,5976881.239,7954065.523,16712436.18,31494617.24,24305658.21,2.352097848,13849,34.4,33.20000159,0.63196016,0.822334538,39.84103633,1.619532225
"11",0.931767927708133,336082,0,1069035.415,103983.5438,840955.062,0,2039742.672,838859.0242,1859088.953,6544458.962,40370123.8,2.591668606,5715,34.66666667,40.16624313,0.550119281,0.790090554,3.32603119,0.551559804
"12",0.985849870934254,336083,0,154471.4793,166798.3176,76448.44632,840539.6429,3184320.457,8390026.757,66696404.83,81641534.95,105.7429149,2.268369149,13235.75828,22.57142857,15.16394739,0.662743887,0.734850507,162.1700958,3.550287178
"13",1.26689000761546,336084,0,656577.0422,194380.6376,1253722.549,0,7711486.353,645490.9735,22803906.91,16652267.66,57499046.32,2.531728887,11133.43217,41.33333333,44.99063006,0.61974609,0.849457376,14.41260359,1.410539066
"14",1.5724485579137,336101,0,879255.3705,271402.2526,2261158.335,69656.51366,13202720.21,14267547.54,16965804.73,26291588.21,51265159.47,3.011144957,10475.98612,43.5,36.53335339,0.660992121,0.668844364,26.61993188,1.338055426
"15",1.17815709645801,336102,0,654944.0185,0,0,286604.288,16742424.59,16917907.63,88050645.68,38725642.59,0,2.644460565,15249.35116,24.10526316,19.8881057,0.733103558,0.672479734,213.153347,3.544537947
"16",1.12614517425119,336103,0,111625.2809,27905.875,0,27882.23399,10972619.83,21762180.29,1694862.818,3257856.809,51858457.21,2.438434156,17236.62963,46.4,35.69656408,0.637832497,0.806252008,13.40408113,0.775397734
"17",1.11115294837016,336104,0,300262.0274,34915.9877,454025.1807,58217.71687,6826786.343,7019238.168,8366604.665,12223206.26,72436555.66,2.537608912,16785.13336,49,40.95379369,0.545358149,0.682432373,12.2548364,1.618453087
"18",0.471964741382544,336111,0,27858.82694,0,0,80032.3527,7579406.035,2637323.153,143051043.5,8002576.067,0,2.598623745,14329.84843,26.36363636,18.91364879,0.696941804,0.791627222,568.3072423,6.401134669
"19",0.630113900799376,336112,0,636402.4931,0,0,41798.16202,19095744.11,3721679.715,133013568,4819420.265,49540.6435,2.622118581,12877.78741,24.7,18.22744056,0.655526056,0.755697021,626.79614,8.710158432
"20",0.975378509985489,336113,0,139548.6189,6977.805131,227854.519,6975.19175,7993780.469,381737.4128,6830682.802,1398879.039,36856666.99,2.171246623,9112.849,45,47.68882076,0.648343921,0.904705648,14.26364149,1.465915436
"21",0.840628528892048,336114,0,172254.3864,6976.736043,476884.0794,0,6313094.556,65425.18786,5267580.424,1068263.97,40472587.35,2.338186753,7760.499607,40,49.11704863,0.673201058,0.927319721,10.72826579,1.568233976
